ACK_ID,FORM_PLAN_YEAR_BEGIN_DATE,FORM_TAX_PRD,TYPE_PLAN_ENTITY_CD,TYPE_DFE_PLAN_ENTITY_CD,INITIAL_FILING_IND,AMENDED_IND,FINAL_FILING_IND,SHORT_PLAN_YR_IND,COLLECTIVE_BARGAIN_IND,F5558_APPLICATION_FILED_IND,EXT_AUTOMATIC_IND,DFVC_PROGRAM_IND,EXT_SPECIAL_IND,EXT_SPECIAL_TEXT,PLAN_NAME,SPONS_DFE_PN,PLAN_EFF_DATE,SPONSOR_DFE_NAME,SPONS_DFE_DBA_NAME,SPONS_DFE_CARE_OF_NAME,SPONS_DFE_MAIL_US_ADDRESS1,SPONS_DFE_MAIL_US_ADDRESS2,SPONS_DFE_MAIL_US_CITY,SPONS_DFE_MAIL_US_STATE,SPONS_DFE_MAIL_US_ZIP,SPONS_DFE_MAIL_FOREIGN_ADDR1,SPONS_DFE_MAIL_FOREIGN_ADDR2,SPONS_DFE_MAIL_FOREIGN_CITY,SPONS_DFE_MAIL_FORGN_PROV_ST,SPONS_DFE_MAIL_FOREIGN_CNTRY,SPONS_DFE_MAIL_FORGN_POSTAL_CD,SPONS_DFE_LOC_US_ADDRESS1,SPONS_DFE_LOC_US_ADDRESS2,SPONS_DFE_LOC_US_CITY,SPONS_DFE_LOC_US_STATE,SPONS_DFE_LOC_US_ZIP,SPONS_DFE_LOC_FOREIGN_ADDRESS1,SPONS_DFE_LOC_FOREIGN_ADDRESS2,SPONS_DFE_LOC_FOREIGN_CITY,SPONS_DFE_LOC_FORGN_PROV_ST,SPONS_DFE_LOC_FOREIGN_CNTRY,SPONS_DFE_LOC_FORGN_POSTAL_CD,SPONS_DFE_EIN,SPONS_DFE_PHONE_NUM,BUSINESS_CODE,ADMIN_NAME,ADMIN_CARE_OF_NAME,ADMIN_US_ADDRESS1,ADMIN_US_ADDRESS2,ADMIN_US_CITY,ADMIN_US_STATE,ADMIN_US_ZIP,ADMIN_FOREIGN_ADDRESS1,ADMIN_FOREIGN_ADDRESS2,ADMIN_FOREIGN_CITY,ADMIN_FOREIGN_PROV_STATE,ADMIN_FOREIGN_CNTRY,ADMIN_FOREIGN_POSTAL_CD,ADMIN_EIN,ADMIN_PHONE_NUM,LAST_RPT_SPONS_NAME,LAST_RPT_SPONS_EIN,LAST_RPT_PLAN_NUM,ADMIN_SIGNED_DATE,ADMIN_SIGNED_NAME,SPONS_SIGNED_DATE,SPONS_SIGNED_NAME,DFE_SIGNED_DATE,DFE_SIGNED_NAME,TOT_PARTCP_BOY_CNT,TOT_ACTIVE_PARTCP_CNT,RTD_SEP_PARTCP_RCVG_CNT,RTD_SEP_PARTCP_FUT_CNT,SUBTL_ACT_RTD_SEP_CNT,BENEF_RCVG_BNFT_CNT,TOT_ACT_RTD_SEP_BENEF_CNT,PARTCP_ACCOUNT_BAL_CNT,SEP_PARTCP_PARTL_VSTD_CNT,CONTRIB_EMPLRS_CNT,TYPE_PENSION_BNFT_CODE,TYPE_WELFARE_BNFT_CODE,FUNDING_INSURANCE_IND,FUNDING_SEC412_IND,FUNDING_TRUST_IND,FUNDING_GEN_ASSET_IND,BENEFIT_INSURANCE_IND,BENEFIT_SEC412_IND,BENEFIT_TRUST_IND,BENEFIT_GEN_ASSET_IND,SCH_R_ATTACHED_IND,SCH_MB_ATTACHED_IND,SCH_SB_ATTACHED_IND,SCH_H_ATTACHED_IND,SCH_I_ATTACHED_IND,SCH_A_ATTACHED_IND,NUM_SCH_A_ATTACHED_CNT,SCH_C_ATTACHED_IND,SCH_D_ATTACHED_IND,SCH_G_ATTACHED_IND,FILING_STATUS,DATE_RECEIVED,VALID_ADMIN_SIGNATURE,VALID_DFE_SIGNATURE,VALID_SPONSOR_SIGNATURE,ADMIN_PHONE_NUM_FOREIGN,SPONS_DFE_PHONE_NUM_FOREIGN,ADMIN_NAME_SAME_SPON_IND,ADMIN_ADDRESS_SAME_SPON_IND,PREPARER_NAME,PREPARER_FIRM_NAME,PREPARER_US_ADDRESS1,PREPARER_US_ADDRESS2,PREPARER_US_CITY,PREPARER_US_STATE,PREPARER_US_ZIP,PREPARER_FOREIGN_ADDRESS1,PREPARER_FOREIGN_ADDRESS2,PREPARER_FOREIGN_CITY,PREPARER_FOREIGN_PROV_STATE,PREPARER_FOREIGN_CNTRY,PREPARER_FOREIGN_POSTAL_CD,PREPARER_PHONE_NUM,PREPARER_PHONE_NUM_FOREIGN,TOT_ACT_PARTCP_BOY_CNT,SUBJ_M1_FILING_REQ_IND,COMPLIANCE_M1_FILING_REQ_IND,M1_RECEIPT_CONFIRMATION_CODE,ADMIN_MANUAL_SIGNED_DATE,ADMIN_MANUAL_SIGNED_NAME
"20170724160258P030063236561001","2016-01-01","2016-12-31","3",,"0","0","0","0","0","0","0","0","0",,"GLOBUS PRINTING & PACKAGING, INC. PROFIT SHARING 401(K) PLAN","001","1994-01-01","GLOBUS PRINTING & PACKAGING, INC.",,,"P.O. BOX 114",,"MINSTER","OH","45865",,,,,,,,,,,,,,,,,,"340977035","4196282381","323100",,,,,,,,,,,,,,,,,,,"2017-07-24T16:02:14-0500","TIM SCHMIESING",,,,,131,102,0,26,128,0,128,117,7,,"2E2F2G2J2K2R2T3D",,"1","0","1","0","1","0","1","0","1","0","0","1","0","1","1","1","0","0","FILING_RECEIVED","2017-07-24","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,112,,,,,
"20170724160303P030063236801001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","1","0","0","0",,"MILLER & HOLMES, INC. 401(K) RETIREMENT SAVINGS PLAN","001","1994-04-01","MILLER & HOLMES, INC",,,"2311 ONEIL RD",,"HUDSON","WI","54016",,,,,,,,,,,,,,,,,,"410633673","7153771730","445120",,,,,,,,,,,,,,,,,,,"2017-07-24T16:02:43-0500","BARBARA A VELASQUEZ","2017-07-24T16:02:43-0500","BARBARA A VELASQUEZ",,,166,158,0,6,164,0,164,40,0,,"2E2F2G2J2K2T3D",,"0","0","1","0","0","0","1","0","1","0","0","1","0","0",,"1","1","0","FILING_RECEIVED","2017-07-24","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,161,,,,,
"20170724160307P040067414353001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","1","0","0","0",,"EXSILIO CONSULTING, INC. 401(K) PLAN","001","2007-02-28","EXSILIO CONSULTING, INC.",,,"17288 RED HILL AVE",,"IRVINE","CA","92614",,,,,,,,,,,,,,,,,,"202617668","9496794203","541600",,,,,,,,,,,,,,,,,,,"2017-07-24T11:54:03-0500","THOMAS FRISCH",,,,,64,46,0,27,73,0,73,53,0,,"2F2G2J2K2T3D",,"0","0","1","0","0","0","1","0","1","0",,"0","1","0",,"0","0","0","FILING_RECEIVED","2017-07-24","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,45,,,,,
"20170724160328P040055796775001","2016-01-01","2016-12-31","2",,,,,,,,,,,,"THE UNIFIED COMPANIES GROUP WELFARE BENEFIT PLAN","502","2000-01-01","UNIFIED FINANCIAL SERVICES, INC.",,,"2353 ALEXANDRIA DRIVE",,"LEXINGTON","KY","40504",,,,,,,,,,,,,,,,,,"351797759","8592964407","551112",,,,,,,,,,,,,,,,,,,,,,,,,100,105,,,105,,105,,,,,"4A4B4D4E4F4H4S","1",,,,"1",,,,,,,,,"1","8",,,,"FILING_RECEIVED","2017-07-24",,,,,,"1",,,,,,,,,,,,,,,,,100,"2",,,"2017-07-24T01:00:00-0500","ANGELA BROWN"
"20170724160330P030063238353001","2016-01-01","2016-12-31","2",,"1","0","0","0","0","0","0","0","0",,"HAVENWOOD HERITAGE HEIGHTS GROUP LIFE INSURANCE","502","1989-09-01","UNITED CHURCH OF CHRIST RETIREMENT COMMUNITY INC","HAVENWOOD HERITAGE HEIGHTS","TRACY JUDD VP CFO","33 CHRISTIAN AVE",,"CONCORD","NH","033016128",,,,,,,"33 CHRISTIAN AVE",,"CONCORD","NH","033016128",,,,,,,"020280183","6032245363","611000",,,,,,,,,,,,,,,,,,,"2017-07-24T13:30:23-0500","TRACY JUDD",,,,,124,132,,,132,,132,,,,,"4B","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2017-07-24","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,124,"2",,,,
"20170724160402P040055798759001","2016-01-01","2016-12-31","2",,"1","0","0","0","0","0","0","0","0",,"BALISE MOTOR SALES COMPANY","506","2016-01-01","BALISE MOTOR SALES COMPANY",,,"122 DOTY CIRCLE",,"WEST SPRINGFIELD","MA","01089",,,,,,,,,,,,,,,,,,"550811490","4137351076","441110",,,,,,,,,,,,,,,,,,,"2017-07-24T16:03:22-0500","AMY ROBERTS",,,,,544,620,0,0,620,,,,,,,"4A4B4D4F4L","1","0","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","FILING_RECEIVED","2017-07-24","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,544,"2",,,,
"20170724160404P030056756807001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","0","0","0","0",,"SUGARTOWN WORLDWIDE LLC EMPLOYEE WELFARE PLAN","502","1993-01-12","SUGARTOWN WORLDWIDE LLC DBA LILLY PULITZER",,,"800 THIRD AVE",,"KING OF PRUSSIA","PA","19406",,,,,,,,,,,,,,,,,,"232708437","6108788770","448120",,,,,,,,,,,,,,,,,,,"2017-07-24T16:03:53-0500","SUSIE ANSLEY",,,,,285,312,8,0,320,,,,,,,"4A4D","1","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","FILING_RECEIVED","2017-07-24","Filed with authorized/valid electronic signature",,,,,"1",,,,,,,,,,,,,,,,,285,"2",,,,
"20170408122356P030089051521001","2016-06-21","2016-12-31","2",,"1","0","0","1","0","0","0","0","0",,"TRUSTED INSURANCE ADVISOR SERVICES RETIREMENT PLAN","001","2016-06-21","TRUSTED INSURANCE ADVISOR SERVICES, INC.",,,"1119 WASHINGTON ST. # 2",,"EVANSTON","IL","60202",,,,,,,,,,,,,,,,,,"813003081","8478785430","722511",,,,,,,,,,,,,,,,,,,"2017-04-08T12:23:20-0500","MICHAEL V. SCAMARCIA","2017-04-08T12:23:20-0500","MICHAEL V. SCAMARCIA",,,1,1,0,0,1,0,1,1,0,,"2E2F2G2J2K3D",,"0","0","1","0","0","0","1","0","1","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2017-04-08","Filed with authorized/valid electronic signature",,"Filed with authorized/valid electronic signature",,,"1",,,,,,,,,,,,,,,,,1,,,,,
"20170408123003P030089059009001","2016-01-01","2016-12-31","2",,,,,,,,,,,,"PRISM ASSOCIATES, INC. PROFIT SHARING PLAN AND TRUST","001","2007-01-01","PRISM ASSOCIATES, INC.",,,"9747 BUSINESS PARK AVENUE SUITE 217",,"SAN DIEGO","CA","92131",,,,,,,,,,,,,,,,,,"330493232","8586957099","454390","PRISM ASSOCIATES, INC.",,"9747 BUSINESS PARK AVENUE SUITE 217",,"SAN DIEGO","CA","92131",,,,,,,"330493232","8586957099",,,,"2017-04-07T18:10:05-0500","PETER J. MULLIN",,,,,2,2,,,2,,2,2,,,"2A2E3D",,,,"1",,,,"1",,,,,,"1",,,,,,"FILING_RECEIVED","2017-04-08","Filed with authorized/valid electronic signature",,,,,,,,,,,,,,,,,,,,,,2,,,,,
"20170408125709P040071103245001","2016-01-01","2016-12-31","2",,"0","0","0","0","0","0","0","0","0",,"MIKE STURGIS 401K PROFIT SHARING PLAN","001","2009-01-01","MIKE STURGIS",,,"4503 E SARANAC DR",,"TUCSON","AZ","857186740",,,,,,,"4503 E SARANAC DR",,"TUCSON","AZ","857186740",,,,,,,"203905819","5204442280","531210",,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,,2,2,,,"2J2Q2E",,"0","0","1","0","0","0","1","0","0","0","0","0","1","0",,"0","0","0","FILING_RECEIVED","2017-04-08",,,,,,"1",,"NICHOLAS HEALY",,"5151 E BROADWAY BLVD","SUITE 1600","TUCSON","AZ","85711",,,,,,,"5203265075",,2,,,,"2017-04-03T00:00:00-0500","MIKE STURGIS"
